RunId,iteration,Step,green,yellow,red,total,cumulative_distance,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,cleaned,steps_executed,disposed_green,disposed_yellow,disposed_red,disposed_total,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,width,height,exploration_share_interval_steps,policy_profile_green,policy_profile_yellow,policy_profile_red,seed,config,distance_stagnation
0,0,34,1,1,0,2,17,,,21.0,,,False,34,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,35,1,1,0,2,17,,,21.0,,,False,35,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,36,1,1,0,2,17,,,21.0,,,False,36,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,37,1,1,0,2,17,,,21.0,,,False,37,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,38,1,1,0,2,17,,,21.0,,,False,38,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,39,1,1,0,2,16,,,21.0,,,False,39,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,40,1,1,0,2,16,,,21.0,,,False,40,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,41,1,1,0,2,14,,,21.0,,,False,41,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,42,1,1,0,2,12,,,21.0,,,False,42,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,43,1,1,0,2,10,,,21.0,,,False,43,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,44,1,1,0,2,8,,,21.0,,,False,44,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,45,1,1,0,2,8,,,21.0,,,False,45,1,2,4,7,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,46,0,1,0,1,9,46.0,,21.0,,,False,46,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
